00:02:14:13 | W | Mismatching | SEQ : 20174830530, PART : 52124713AD, SCAN TQ41977C0838, CELL [1,1]
15:33:46:93 | I | Matching ok | SEQ : 20174837650, PART : N/A, SCAN N/A, CELL [2,3]
15:33:49:00 | I | Matching ok | SEQ : 20174837640, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
15:33:52:90 | I | Matching ok | SEQ : 20174837630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
15:33:57:10 | I | Matching ok | SEQ : 20174837620, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
15:33:59:19 | I | Matching ok | SEQ : 20174837730, PART : N/A, SCAN N/A, CELL [1,1]
16:21:30:12 | I | Matching ok | SEQ : 20174837720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
16:21:33:97 | I | Matching ok | SEQ : 20174837710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:21:36:52 | I | Matching ok | SEQ : 20174837700, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
16:21:38:99 | I | Matching ok | SEQ : 20174837690, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
16:21:41:65 | I | Matching ok | SEQ : 20174837680, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
16:21:45:19 | I | Matching ok | SEQ : 20174837790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
16:21:47:21 | I | Matching ok | SEQ : 20174837780, PART : N/A, SCAN N/A, CELL [2,2]
16:21:52:42 | I | Matching ok | SEQ : 20174837770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
16:21:55:12 | I | Matching ok | SEQ : 20174837760, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:21:57:82 | I | Matching ok | SEQ : 20174837750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
16:22:00:37 | I | Matching ok | SEQ : 20174837740, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
16:29:05:08 | I | Matching ok | SEQ : 20174837850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
16:29:08:45 | I | Matching ok | SEQ : 20174837840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
16:29:11:56 | I | Matching ok | SEQ : 20174837830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
16:29:15:63 | I | Matching ok | SEQ : 20174837820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
16:29:24:25 | I | Matching ok | SEQ : 20174837810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
16:29:26:29 | I | Matching ok | SEQ : 20174837800, PART : N/A, SCAN N/A, CELL [1,6]
16:29:29:75 | I | Matching ok | SEQ : 20174837910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
16:29:34:48 | I | Matching ok | SEQ : 20174837900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
16:29:36:49 | I | Matching ok | SEQ : 20174837890, PART : N/A, SCAN N/A, CELL [2,3]
16:30:09:78 | I | Matching ok | SEQ : 20174837880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:30:16:91 | I | Matching ok | SEQ : 20174837870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
16:30:18:92 | I | Matching ok | SEQ : 20174837860, PART : N/A, SCAN N/A, CELL [2,6]
16:30:21:00 | I | Matching ok | SEQ : 20174837970, PART : N/A, SCAN N/A, CELL [1,1]
16:45:07:20 | I | Matching ok | SEQ : 20174837960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
16:45:10:45 | I | Matching ok | SEQ : 20174837950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
16:45:13:18 | I | Matching ok | SEQ : 20174837940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
16:45:15:19 | I | Matching ok | SEQ : 20174837930, PART : N/A, SCAN N/A, CELL [1,5]
16:45:17:22 | I | Matching ok | SEQ : 20174837920, PART : N/A, SCAN N/A, CELL [1,6]
16:45:20:68 | I | Matching ok | SEQ : 20174838030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
16:45:22:95 | I | Matching ok | SEQ : 20174838020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
16:45:25:38 | I | Matching ok | SEQ : 20174838010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
16:45:28:63 | I | Matching ok | SEQ : 20174838000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:45:33:20 | I | Matching ok | SEQ : 20174837990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
16:45:35:75 | I | Matching ok | SEQ : 20174837980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
16:54:13:76 | I | Matching ok | SEQ : 20174838090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
16:54:17:14 | I | Matching ok | SEQ : 20174838080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
16:54:23:99 | I | Matching ok | SEQ : 20174838070, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:54:26:02 | I | Matching ok | SEQ : 20174838060, PART : N/A, SCAN N/A, CELL [1,4]
16:54:27:86 | W | Mismatching | SEQ : 20174838050, PART : N/A, SCAN P52124713AD, CELL [1,5]
16:54:28:08 | I | Matching ok | SEQ : 20174838050, PART : N/A, SCAN N/A, CELL [1,5]
16:54:46:57 | I | Matching ok | SEQ : 20174838040, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
16:54:48:59 | I | Matching ok | SEQ : 20174838150, PART : N/A, SCAN N/A, CELL [2,1]
16:54:52:34 | I | Matching ok | SEQ : 20174838140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
16:54:57:64 | I | Matching ok | SEQ : 20174838130, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
16:54:59:65 | I | Matching ok | SEQ : 20174838120, PART : N/A, SCAN N/A, CELL [2,4]
16:55:01:67 | I | Matching ok | SEQ : 20174838110, PART : N/A, SCAN N/A, CELL [2,5]
16:55:07:84 | I | Matching ok | SEQ : 20174838100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
17:01:03:47 | I | Matching ok | SEQ : 20174838210, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:01:11:72 | I | Matching ok | SEQ : 20174838200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
17:01:23:43 | I | Matching ok | SEQ : 20174838190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
17:01:25:44 | I | Matching ok | SEQ : 20174838180, PART : N/A, SCAN N/A, CELL [1,4]
17:01:27:46 | I | Matching ok | SEQ : 20174838170, PART : N/A, SCAN N/A, CELL [1,5]
17:01:53:73 | I | Matching ok | SEQ : 20174838160, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
17:02:15:37 | I | Matching ok | SEQ : 20174838270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
17:02:28:48 | I | Matching ok | SEQ : 20174838260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
17:02:46:63 | I | Matching ok | SEQ : 20174838250, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
17:02:48:64 | I | Matching ok | SEQ : 20174838240, PART : N/A, SCAN N/A, CELL [2,4]
17:02:54:13 | I | Matching ok | SEQ : 20174838230, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:02:57:83 | I | Matching ok | SEQ : 20174838220, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
17:09:52:24 | I | Matching ok | SEQ : 20174838330, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:09:58:51 | I | Matching ok | SEQ : 20174838320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
17:10:04:29 | I | Matching ok | SEQ : 20174838310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
17:10:11:16 | I | Matching ok | SEQ : 20174838300, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
17:10:18:39 | I | Matching ok | SEQ : 20174838290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
17:10:23:04 | I | Matching ok | SEQ : 20174838280, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
17:10:25:05 | I | Matching ok | SEQ : 20174838390, PART : N/A, SCAN N/A, CELL [2,1]
17:10:35:59 | I | Matching ok | SEQ : 20174838380, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
17:11:45:94 | I | Matching ok | SEQ : 20174838370, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
17:11:49:54 | I | Matching ok | SEQ : 20174838360, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
17:11:53:29 | I | Matching ok | SEQ : 20174838350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:11:56:09 | I | Matching ok | SEQ : 20174838340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
17:21:48:06 | I | Matching ok | SEQ : 20174838450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:21:54:88 | I | Matching ok | SEQ : 20174838440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
17:21:57:21 | I | Matching ok | SEQ : 20174838430, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
17:21:59:63 | I | Matching ok | SEQ : 20174838420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
17:22:01:67 | I | Matching ok | SEQ : 20174838410, PART : N/A, SCAN N/A, CELL [1,5]
17:22:04:20 | I | Matching ok | SEQ : 20174838400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
17:22:06:45 | I | Matching ok | SEQ : 20174838510, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
17:22:08:58 | I | Matching ok | SEQ : 20174838500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
17:22:22:78 | I | Matching ok | SEQ : 20174838490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
17:22:24:81 | I | Matching ok | SEQ : 20174838480, PART : N/A, SCAN N/A, CELL [2,4]
17:22:36:60 | W | Mismatching | SEQ : 20174838470, PART : 52124713AD, SCAN TQ41837C0240, CELL [2,5]
17:22:54:98 | I | Matching ok | SEQ : 20174838470, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:22:59:55 | I | Matching ok | SEQ : 20174838460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
17:30:13:72 | I | Matching ok | SEQ : 20174838570, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:30:17:89 | I | Matching ok | SEQ : 20174838560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
17:30:19:92 | I | Matching ok | SEQ : 20174838550, PART : N/A, SCAN N/A, CELL [1,3]
17:30:21:97 | I | Matching ok | SEQ : 20174838540, PART : N/A, SCAN N/A, CELL [1,4]
17:30:24:52 | I | Matching ok | SEQ : 20174838530, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
17:30:27:87 | I | Matching ok | SEQ : 20174838520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
17:31:04:34 | I | Matching ok | SEQ : 20174838630, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
17:31:07:62 | I | Matching ok | SEQ : 20174838620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
17:31:09:62 | I | Matching ok | SEQ : 20174838610, PART : N/A, SCAN N/A, CELL [2,3]
17:31:11:67 | I | Matching ok | SEQ : 20174838600, PART : N/A, SCAN N/A, CELL [2,4]
17:31:13:94 | I | Matching ok | SEQ : 20174838590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:31:16:74 | I | Matching ok | SEQ : 20174838580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
17:31:18:93 | I | Matching ok | SEQ : 20174838690, PART : N/A, SCAN N/A, CELL [1,1]
17:39:06:73 | I | Matching ok | SEQ : 20174838680, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
17:39:08:75 | I | Matching ok | SEQ : 20174838670, PART : N/A, SCAN N/A, CELL [1,3]
17:39:09:83 | W | Mismatching | SEQ : 20174838660, PART : N/A, SCAN P52124713AD, CELL [1,4]
17:39:10:76 | I | Matching ok | SEQ : 20174838660, PART : N/A, SCAN N/A, CELL [1,4]
17:39:21:13 | I | Matching ok | SEQ : 20174838650, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
17:39:23:15 | I | Matching ok | SEQ : 20174838640, PART : N/A, SCAN N/A, CELL [1,6]
17:39:28:23 | I | Matching ok | SEQ : 20174838750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
17:39:30:25 | I | Matching ok | SEQ : 20174838740, PART : N/A, SCAN N/A, CELL [2,2]
17:39:32:26 | I | Matching ok | SEQ : 20174838730, PART : N/A, SCAN N/A, CELL [2,3]
17:39:34:27 | I | Matching ok | SEQ : 20174838720, PART : N/A, SCAN N/A, CELL [2,4]
17:39:35:76 | I | Matching ok | SEQ : 20174838710, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:39:38:83 | I | Matching ok | SEQ : 20174838700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
17:39:40:92 | I | Matching ok | SEQ : 20174838810, PART : N/A, SCAN N/A, CELL [1,1]
17:53:44:21 | I | Matching ok | SEQ : 20174838800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
17:53:51:68 | I | Matching ok | SEQ : 20174838790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
17:53:53:70 | I | Matching ok | SEQ : 20174838780, PART : N/A, SCAN N/A, CELL [1,4]
17:53:55:71 | I | Matching ok | SEQ : 20174838770, PART : N/A, SCAN N/A, CELL [1,5]
17:53:57:72 | I | Matching ok | SEQ : 20174838760, PART : N/A, SCAN N/A, CELL [1,6]
17:53:58:35 | W | Mismatching | SEQ : 20174838870, PART : N/A, SCAN P52124713AD, CELL [2,1]
17:53:59:75 | I | Matching ok | SEQ : 20174838870, PART : N/A, SCAN N/A, CELL [2,1]
17:54:07:80 | I | Matching ok | SEQ : 20174838860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
17:54:09:81 | I | Matching ok | SEQ : 20174838850, PART : N/A, SCAN N/A, CELL [2,3]
17:54:13:25 | I | Matching ok | SEQ : 20174838840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
17:54:16:08 | I | Matching ok | SEQ : 20174838830, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
17:54:18:10 | I | Matching ok | SEQ : 20174838820, PART : N/A, SCAN N/A, CELL [2,6]
18:36:53:64 | W | Mismatching | SEQ : 20174838930, PART : 52124713AD, SCAN TQ41757C1286, CELL [1,1]
18:37:11:64 | W | Mismatching | SEQ : 20174838930, PART : 52124713AD, SCAN TQ41757C1286, CELL [1,1]
18:37:29:44 | I | Matching ok | SEQ : 20174838930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
18:37:38:14 | I | Matching ok | SEQ : 20174838920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
18:37:42:51 | I | Matching ok | SEQ : 20174838910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
18:37:46:64 | I | Matching ok | SEQ : 20174838900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
18:37:51:59 | I | Matching ok | SEQ : 20174838890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
18:37:53:59 | I | Matching ok | SEQ : 20174838880, PART : N/A, SCAN N/A, CELL [1,6]
18:37:55:99 | I | Matching ok | SEQ : 20174838990, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
18:38:00:51 | I | Matching ok | SEQ : 20174838980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
18:38:02:84 | I | Matching ok | SEQ : 20174838970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
18:38:04:86 | I | Matching ok | SEQ : 20174838960, PART : N/A, SCAN N/A, CELL [2,4]
18:38:08:74 | I | Matching ok | SEQ : 20174838950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
18:38:10:75 | I | Matching ok | SEQ : 20174838940, PART : N/A, SCAN N/A, CELL [2,6]
18:42:07:02 | I | Matching ok | SEQ : 20174839050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
18:42:09:03 | I | Matching ok | SEQ : 20174839040, PART : N/A, SCAN N/A, CELL [1,2]
18:42:11:90 | I | Matching ok | SEQ : 20174839030, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
18:42:14:77 | I | Matching ok | SEQ : 20174839020, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
18:42:16:78 | I | Matching ok | SEQ : 20174839010, PART : N/A, SCAN N/A, CELL [1,5]
18:42:19:47 | I | Matching ok | SEQ : 20174839000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
18:42:21:49 | I | Matching ok | SEQ : 20174839110, PART : N/A, SCAN N/A, CELL [2,1]
18:42:42:64 | I | Matching ok | SEQ : 20174839100, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
18:42:44:68 | I | Matching ok | SEQ : 20174839090, PART : N/A, SCAN N/A, CELL [2,3]
18:42:46:69 | I | Matching ok | SEQ : 20174839080, PART : N/A, SCAN N/A, CELL [2,4]
18:42:50:64 | I | Matching ok | SEQ : 20174839070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
18:42:53:65 | I | Matching ok | SEQ : 20174839060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:49:04:61 | I | Matching ok | SEQ : 20174839170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
18:49:11:35 | I | Matching ok | SEQ : 20174839160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
18:49:13:37 | I | Matching ok | SEQ : 20174839150, PART : N/A, SCAN N/A, CELL [1,3]
18:49:23:41 | I | Matching ok | SEQ : 20174839140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
18:49:25:41 | I | Matching ok | SEQ : 20174839130, PART : N/A, SCAN N/A, CELL [1,5]
18:49:32:03 | I | Matching ok | SEQ : 20174839120, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
18:49:37:76 | I | Matching ok | SEQ : 20174839230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
18:49:39:77 | I | Matching ok | SEQ : 20174839220, PART : N/A, SCAN N/A, CELL [2,2]
18:50:19:11 | I | Matching ok | SEQ : 20174839210, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
18:50:22:08 | I | Matching ok | SEQ : 20174839200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
18:50:25:03 | I | Matching ok | SEQ : 20174839190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
18:50:30:71 | I | Matching ok | SEQ : 20174839180, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
18:50:32:84 | I | Matching ok | SEQ : 20174839290, PART : N/A, SCAN N/A, CELL [1,1]
18:52:12:03 | W | Mismatching | SEQ : 20174839280, PART : 52124713AD, SCAN P04578885AC, CELL [1,2]
18:52:23:96 | W | Mismatching | SEQ : 20174839280, PART : 52124713AD, SCAN P04578885AC, CELL [1,2]
18:52:33:24 | W | Mismatching | SEQ : 20174839280, PART : 52124713AD, SCAN TQ42087C0058, CELL [1,2]
19:00:18:47 | I | Matching ok | SEQ : 20174839280, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
19:00:24:47 | I | Matching ok | SEQ : 20174839270, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
19:00:34:40 | I | Matching ok | SEQ : 20174839260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
19:00:37:65 | I | Matching ok | SEQ : 20174839250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
19:00:42:20 | I | Matching ok | SEQ : 20174839240, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
19:00:44:22 | I | Matching ok | SEQ : 20174839350, PART : N/A, SCAN N/A, CELL [2,1]
19:00:50:07 | I | Matching ok | SEQ : 20174839340, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
19:01:07:38 | I | Matching ok | SEQ : 20174839330, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
19:01:11:45 | I | Matching ok | SEQ : 20174839320, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
19:01:18:60 | I | Matching ok | SEQ : 20174839310, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
19:01:28:00 | I | Matching ok | SEQ : 20174839300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
19:11:32:04 | I | Matching ok | SEQ : 20174839410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
19:11:34:52 | I | Matching ok | SEQ : 20174839400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
19:11:38:44 | I | Matching ok | SEQ : 20174839390, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
19:11:41:24 | I | Matching ok | SEQ : 20174839380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
19:11:43:28 | I | Matching ok | SEQ : 20174839370, PART : N/A, SCAN N/A, CELL [1,5]
19:11:45:91 | I | Matching ok | SEQ : 20174839360, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
19:11:47:93 | I | Matching ok | SEQ : 20174839470, PART : N/A, SCAN N/A, CELL [2,1]
19:11:51:64 | I | Matching ok | SEQ : 20174839460, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
19:11:53:65 | I | Matching ok | SEQ : 20174839450, PART : N/A, SCAN N/A, CELL [2,3]
19:11:55:66 | I | Matching ok | SEQ : 20174839440, PART : N/A, SCAN N/A, CELL [2,4]
19:12:01:77 | W | Mismatching | SEQ : 20174839430, PART : 52124713AD, SCAN P04578885AC, CELL [2,5]
19:12:13:59 | I | Matching ok | SEQ : 20174839430, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
19:12:16:24 | I | Matching ok | SEQ : 20174839420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
19:19:08:38 | I | Matching ok | SEQ : 20174839530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
19:19:12:35 | I | Matching ok | SEQ : 20174839520, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
19:19:14:37 | I | Matching ok | SEQ : 20174839510, PART : N/A, SCAN N/A, CELL [1,3]
19:19:22:15 | I | Matching ok | SEQ : 20174839500, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
19:19:26:80 | I | Matching ok | SEQ : 20174839490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
19:19:30:03 | I | Matching ok | SEQ : 20174839480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
19:19:32:05 | I | Matching ok | SEQ : 20174839590, PART : N/A, SCAN N/A, CELL [2,1]
19:20:42:05 | I | Matching ok | SEQ : 20174839580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
19:20:45:52 | I | Matching ok | SEQ : 20174839570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
19:20:49:00 | I | Matching ok | SEQ : 20174839560, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
19:20:52:68 | I | Matching ok | SEQ : 20174839550, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
19:20:56:15 | I | Matching ok | SEQ : 20174839540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
19:33:37:79 | I | Matching ok | SEQ : 20174839650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
19:33:42:37 | I | Matching ok | SEQ : 20174839640, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
19:33:45:42 | I | Matching ok | SEQ : 20174839630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
19:33:50:17 | I | Matching ok | SEQ : 20174839620, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
19:33:56:97 | I | Matching ok | SEQ : 20174839610, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
19:34:03:87 | I | Matching ok | SEQ : 20174839600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
19:34:05:88 | I | Matching ok | SEQ : 20174839710, PART : N/A, SCAN N/A, CELL [2,1]
19:34:17:37 | I | Matching ok | SEQ : 20174839700, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
19:34:34:89 | I | Matching ok | SEQ : 20174839690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
19:34:45:83 | I | Matching ok | SEQ : 20174839680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
19:34:47:85 | I | Matching ok | SEQ : 20174839670, PART : N/A, SCAN N/A, CELL [2,5]
19:34:50:00 | I | Matching ok | SEQ : 20174839660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
19:46:27:51 | I | Matching ok | SEQ : 20174839770, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
19:46:32:46 | I | Matching ok | SEQ : 20174839760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
19:46:41:34 | I | Matching ok | SEQ : 20174839750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
19:46:45:84 | I | Matching ok | SEQ : 20174839740, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
19:46:50:19 | I | Matching ok | SEQ : 20174839730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
19:46:52:61 | I | Matching ok | SEQ : 20174839720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
19:47:58:36 | I | Matching ok | SEQ : 20174839830, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
19:48:03:45 | I | Matching ok | SEQ : 20174839820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
19:48:08:16 | W | Mismatching | SEQ : 20174839810, PART : 52124713AD, SCAN TQ41827C0597, CELL [2,3]
19:48:25:94 | I | Matching ok | SEQ : 20174839810, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
19:48:29:49 | I | Matching ok | SEQ : 20174839800, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
19:48:44:86 | I | Matching ok | SEQ : 20174839790, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
19:48:49:59 | I | Matching ok | SEQ : 20174839780, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
20:02:59:11 | I | Matching ok | SEQ : 20174839890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
20:03:02:13 | I | Matching ok | SEQ : 20174839880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
20:03:07:96 | I | Matching ok | SEQ : 20174839870, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
20:03:10:49 | I | Matching ok | SEQ : 20174839860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
20:03:20:46 | I | Matching ok | SEQ : 20174839850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
20:03:24:61 | I | Matching ok | SEQ : 20174839840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
20:03:58:46 | I | Matching ok | SEQ : 20174839950, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
20:04:02:11 | I | Matching ok | SEQ : 20174839940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
20:04:04:99 | I | Matching ok | SEQ : 20174839930, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
20:04:35:36 | I | Matching ok | SEQ : 20174839920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
20:04:42:32 | I | Matching ok | SEQ : 20174839910, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
20:04:45:86 | I | Matching ok | SEQ : 20174839900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
20:16:04:94 | I | Matching ok | SEQ : 20174840010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
20:16:14:76 | I | Matching ok | SEQ : 20174840000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
20:16:16:77 | I | Matching ok | SEQ : 20174839990, PART : N/A, SCAN N/A, CELL [1,3]
