00:05:48:90 | W | Mismatching | SEQ : 20174734890, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
14:18:20:98 | I | Matching ok | SEQ : 20174742020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
14:18:23:53 | I | Matching ok | SEQ : 20174742010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:18:27:93 | I | Matching ok | SEQ : 20174742000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:18:29:95 | I | Matching ok | SEQ : 20174741990, PART : N/A, SCAN N/A, CELL [2,5]
14:18:31:96 | I | Matching ok | SEQ : 20174741980, PART : N/A, SCAN N/A, CELL [2,6]
14:25:03:22 | I | Matching ok | SEQ : 20174742090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:25:05:36 | I | Matching ok | SEQ : 20174742080, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
14:25:09:77 | I | Matching ok | SEQ : 20174742070, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
14:25:30:64 | I | Matching ok | SEQ : 20174742060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
14:25:42:29 | I | Matching ok | SEQ : 20174742050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
14:25:44:30 | I | Matching ok | SEQ : 20174742040, PART : N/A, SCAN N/A, CELL [1,6]
14:25:46:94 | W | Mismatching | SEQ : 20174742150, PART : 52124713AD, SCAN P04578885AC, CELL [2,1]
14:26:08:99 | I | Matching ok | SEQ : 20174742150, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:26:11:97 | I | Matching ok | SEQ : 20174742140, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
14:26:14:19 | I | Matching ok | SEQ : 20174742130, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:26:17:92 | I | Matching ok | SEQ : 20174742120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:26:20:92 | I | Matching ok | SEQ : 20174742110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:26:24:77 | I | Matching ok | SEQ : 20174742100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
14:53:03:13 | I | Matching ok | SEQ : 20174742210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
14:53:05:75 | I | Matching ok | SEQ : 20174742200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
14:53:09:73 | I | Matching ok | SEQ : 20174742190, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
14:53:13:71 | I | Matching ok | SEQ : 20174742180, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
14:53:17:31 | I | Matching ok | SEQ : 20174742170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
14:53:20:06 | I | Matching ok | SEQ : 20174742160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
14:53:22:96 | I | Matching ok | SEQ : 20174742270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
14:53:26:33 | I | Matching ok | SEQ : 20174742260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
14:53:29:21 | I | Matching ok | SEQ : 20174742250, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
14:53:33:41 | I | Matching ok | SEQ : 20174742240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
14:53:36:68 | I | Matching ok | SEQ : 20174742230, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
14:53:39:41 | I | Matching ok | SEQ : 20174742220, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
15:06:00:85 | W | Mismatching | SEQ : 20174742330, PART : 52124713AD, SCAN TQ41777H0304, CELL [1,1]
15:06:06:30 | I | Matching ok | SEQ : 20174742330, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
15:06:08:88 | I | Matching ok | SEQ : 20174742320, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
15:06:12:65 | I | Matching ok | SEQ : 20174742310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
15:06:16:03 | I | Matching ok | SEQ : 20174742300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
15:06:22:42 | I | Matching ok | SEQ : 20174742290, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
15:06:25:70 | I | Matching ok | SEQ : 20174742280, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:06:28:80 | I | Matching ok | SEQ : 20174742390, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
15:06:31:70 | I | Matching ok | SEQ : 20174742380, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:06:35:23 | I | Matching ok | SEQ : 20174742370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
15:06:39:35 | I | Matching ok | SEQ : 20174742360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
15:06:44:35 | I | Matching ok | SEQ : 20174742350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
15:06:48:78 | I | Matching ok | SEQ : 20174742340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
15:17:33:14 | I | Matching ok | SEQ : 20174742450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
15:17:41:60 | I | Matching ok | SEQ : 20174742440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
15:17:43:64 | I | Matching ok | SEQ : 20174742430, PART : N/A, SCAN N/A, CELL [1,3]
15:17:48:39 | I | Matching ok | SEQ : 20174742420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
15:17:53:22 | I | Matching ok | SEQ : 20174742410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
15:19:20:97 | W | Mismatching | SEQ : 20174742400, PART : 04578885AC, SCAN P52124713AD, CELL [1,6]
15:19:34:57 | I | Matching ok | SEQ : 20174742400, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:19:39:29 | I | Matching ok | SEQ : 20174742510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
15:20:02:90 | I | Matching ok | SEQ : 20174742500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:20:04:93 | I | Matching ok | SEQ : 20174742490, PART : N/A, SCAN N/A, CELL [2,3]
15:20:09:32 | I | Matching ok | SEQ : 20174742480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
15:20:12:54 | I | Matching ok | SEQ : 20174742470, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
15:20:20:54 | I | Matching ok | SEQ : 20174742460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
15:29:07:46 | I | Matching ok | SEQ : 20174742570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
15:29:12:23 | I | Matching ok | SEQ : 20174742560, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
15:29:16:76 | I | Matching ok | SEQ : 20174742550, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
15:29:21:41 | I | Matching ok | SEQ : 20174742540, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
15:29:27:16 | I | Matching ok | SEQ : 20174742530, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
15:29:31:54 | I | Matching ok | SEQ : 20174742520, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:29:43:76 | I | Matching ok | SEQ : 20174742630, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
15:29:47:93 | I | Matching ok | SEQ : 20174742620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:29:56:88 | I | Matching ok | SEQ : 20174742610, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
15:30:00:96 | I | Matching ok | SEQ : 20174742600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
15:31:02:66 | I | Matching ok | SEQ : 20174742590, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
15:31:05:94 | I | Matching ok | SEQ : 20174742580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
15:46:34:51 | I | Matching ok | SEQ : 20174742690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
15:46:39:61 | I | Matching ok | SEQ : 20174742680, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
15:46:55:78 | I | Matching ok | SEQ : 20174742670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
15:47:07:11 | I | Matching ok | SEQ : 20174742660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
15:47:11:81 | I | Matching ok | SEQ : 20174742650, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
15:47:16:76 | W | Mismatching | SEQ : 20174742640, PART : 04578885AC, SCAN TQ41907H0241, CELL [1,6]
15:47:25:21 | I | Matching ok | SEQ : 20174742640, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
15:47:42:04 | I | Matching ok | SEQ : 20174742750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
15:47:47:84 | I | Matching ok | SEQ : 20174742740, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
15:47:53:96 | I | Matching ok | SEQ : 20174742730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
15:47:55:98 | I | Matching ok | SEQ : 20174742720, PART : N/A, SCAN N/A, CELL [2,4]
15:48:01:28 | W | Mismatching | SEQ : 20174742710, PART : 04578885AC, SCAN TQ41907H0253, CELL [2,5]
15:48:11:78 | I | Matching ok | SEQ : 20174742710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
15:48:18:81 | W | Mismatching | SEQ : 20174742700, PART : 52124713AD, SCAN TQ41827C0737, CELL [2,6]
15:48:35:91 | I | Matching ok | SEQ : 20174742700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
16:05:51:99 | I | Matching ok | SEQ : 20174742810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
16:05:54:01 | I | Matching ok | SEQ : 20174742800, PART : N/A, SCAN N/A, CELL [1,2]
16:05:58:41 | I | Matching ok | SEQ : 20174742790, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:06:00:91 | I | Matching ok | SEQ : 20174742780, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
16:06:03:42 | I | Matching ok | SEQ : 20174742770, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
16:06:06:14 | I | Matching ok | SEQ : 20174742760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
16:06:08:76 | I | Matching ok | SEQ : 20174742870, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
16:06:10:78 | I | Matching ok | SEQ : 20174742860, PART : N/A, SCAN N/A, CELL [2,2]
16:06:13:84 | I | Matching ok | SEQ : 20174742850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
16:06:16:41 | I | Matching ok | SEQ : 20174742840, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
16:06:21:24 | I | Matching ok | SEQ : 20174742830, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
16:06:26:61 | I | Matching ok | SEQ : 20174742820, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
16:21:13:66 | I | Matching ok | SEQ : 20174742930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
16:21:20:41 | I | Matching ok | SEQ : 20174742920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
16:21:28:98 | W | Mismatching | SEQ : 20174742910, PART : 52124713AD, SCAN P04578885AC, CELL [1,3]
16:21:39:13 | I | Matching ok | SEQ : 20174742910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:21:49:01 | I | Matching ok | SEQ : 20174742900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
16:21:51:03 | I | Matching ok | SEQ : 20174742890, PART : N/A, SCAN N/A, CELL [1,5]
16:22:18:21 | I | Matching ok | SEQ : 20174742880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
16:22:20:66 | I | Matching ok | SEQ : 20174742990, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
16:22:22:79 | I | Matching ok | SEQ : 20174742980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
16:23:11:54 | I | Matching ok | SEQ : 20174742970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
16:23:13:66 | I | Matching ok | SEQ : 20174742960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:23:15:67 | I | Matching ok | SEQ : 20174742950, PART : N/A, SCAN N/A, CELL [2,5]
16:23:21:81 | I | Matching ok | SEQ : 20174742940, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
16:42:59:94 | I | Matching ok | SEQ : 20174743050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
16:43:01:97 | I | Matching ok | SEQ : 20174743040, PART : N/A, SCAN N/A, CELL [1,2]
16:43:04:06 | I | Matching ok | SEQ : 20174743030, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:43:09:27 | I | Matching ok | SEQ : 20174743020, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
16:43:11:30 | I | Matching ok | SEQ : 20174743010, PART : N/A, SCAN N/A, CELL [1,5]
16:43:14:72 | I | Matching ok | SEQ : 20174743000, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
16:43:20:74 | I | Matching ok | SEQ : 20174743110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
16:43:22:75 | I | Matching ok | SEQ : 20174743100, PART : N/A, SCAN N/A, CELL [2,2]
16:43:24:77 | I | Matching ok | SEQ : 20174743090, PART : N/A, SCAN N/A, CELL [2,3]
16:43:28:12 | I | Matching ok | SEQ : 20174743080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:43:30:13 | I | Matching ok | SEQ : 20174743070, PART : N/A, SCAN N/A, CELL [2,5]
16:43:32:06 | I | Matching ok | SEQ : 20174743060, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
16:53:37:91 | I | Matching ok | SEQ : 20174743170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
16:53:39:93 | I | Matching ok | SEQ : 20174743160, PART : N/A, SCAN N/A, CELL [1,2]
16:53:45:18 | I | Matching ok | SEQ : 20174743150, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
16:53:48:60 | I | Matching ok | SEQ : 20174743140, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
16:53:52:93 | I | Matching ok | SEQ : 20174743130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
16:53:57:28 | I | Matching ok | SEQ : 20174743120, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
16:54:08:21 | I | Matching ok | SEQ : 20174743230, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
16:54:10:23 | I | Matching ok | SEQ : 20174743220, PART : N/A, SCAN N/A, CELL [2,2]
16:54:13:35 | I | Matching ok | SEQ : 20174743210, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
16:54:17:78 | I | Matching ok | SEQ : 20174743200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
16:54:19:79 | I | Matching ok | SEQ : 20174743190, PART : N/A, SCAN N/A, CELL [2,5]
16:54:25:00 | I | Matching ok | SEQ : 20174743180, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
17:01:30:54 | I | Matching ok | SEQ : 20174743290, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
17:01:32:57 | I | Matching ok | SEQ : 20174743280, PART : N/A, SCAN N/A, CELL [1,2]
17:01:38:74 | I | Matching ok | SEQ : 20174743270, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
17:01:42:62 | I | Matching ok | SEQ : 20174743260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
17:01:44:63 | I | Matching ok | SEQ : 20174743250, PART : N/A, SCAN N/A, CELL [1,5]
17:03:05:54 | I | Matching ok | SEQ : 20174743240, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
17:03:09:19 | I | Matching ok | SEQ : 20174743350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
17:03:11:21 | I | Matching ok | SEQ : 20174743340, PART : N/A, SCAN N/A, CELL [2,2]
17:03:13:22 | I | Matching ok | SEQ : 20174743330, PART : N/A, SCAN N/A, CELL [2,3]
17:03:18:77 | I | Matching ok | SEQ : 20174743320, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
17:03:20:79 | I | Matching ok | SEQ : 20174743310, PART : N/A, SCAN N/A, CELL [2,5]
17:03:29:22 | I | Matching ok | SEQ : 20174743300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
17:16:08:49 | I | Matching ok | SEQ : 20174743410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:16:10:58 | I | Matching ok | SEQ : 20174743400, PART : N/A, SCAN N/A, CELL [1,2]
17:16:22:19 | W | Mismatching | SEQ : 20174743390, PART : 04578885AC, SCAN TQ41907H0258, CELL [1,3]
17:16:26:36 | I | Matching ok | SEQ : 20174743390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
17:16:29:19 | I | Matching ok | SEQ : 20174743380, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
17:16:31:25 | I | Matching ok | SEQ : 20174743370, PART : N/A, SCAN N/A, CELL [1,5]
17:16:35:04 | I | Matching ok | SEQ : 20174743360, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
17:16:42:46 | I | Matching ok | SEQ : 20174743470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
17:16:46:52 | I | Matching ok | SEQ : 20174743460, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
17:16:48:56 | I | Matching ok | SEQ : 20174743450, PART : N/A, SCAN N/A, CELL [2,3]
17:17:02:19 | I | Matching ok | SEQ : 20174743440, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
17:17:04:84 | I | Matching ok | SEQ : 20174743430, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
17:17:07:44 | I | Matching ok | SEQ : 20174743420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
17:27:16:00 | W | Mismatching | SEQ : 20174743530, PART : 04578885AC, SCAN TQ41907H0273, CELL [1,1]
17:27:38:48 | I | Matching ok | SEQ : 20174743530, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
17:27:40:50 | I | Matching ok | SEQ : 20174743520, PART : N/A, SCAN N/A, CELL [1,2]
17:27:44:60 | I | Matching ok | SEQ : 20174743510, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
17:27:47:85 | I | Matching ok | SEQ : 20174743500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
17:28:13:16 | I | Matching ok | SEQ : 20174743490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
17:28:15:93 | I | Matching ok | SEQ : 20174743480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
17:28:19:43 | I | Matching ok | SEQ : 20174743590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
17:28:21:45 | I | Matching ok | SEQ : 20174743580, PART : N/A, SCAN N/A, CELL [2,2]
17:28:26:98 | I | Matching ok | SEQ : 20174743570, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
17:28:33:33 | I | Matching ok | SEQ : 20174743560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
17:28:35:36 | I | Matching ok | SEQ : 20174743550, PART : N/A, SCAN N/A, CELL [2,5]
17:28:39:33 | I | Matching ok | SEQ : 20174743540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:17:36:30 | I | Matching ok | SEQ : 20174743650, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
18:17:41:42 | W | Mismatching | SEQ : 20174743640, PART : 04578885AC, SCAN P52124713AD, CELL [1,2]
18:18:05:03 | I | Matching ok | SEQ : 20174743640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
18:18:08:65 | I | Matching ok | SEQ : 20174743630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
18:18:10:67 | I | Matching ok | SEQ : 20174743620, PART : N/A, SCAN N/A, CELL [1,4]
18:18:12:68 | I | Matching ok | SEQ : 20174743610, PART : N/A, SCAN N/A, CELL [1,5]
18:18:15:45 | I | Matching ok | SEQ : 20174743600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
18:18:19:98 | I | Matching ok | SEQ : 20174743710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
18:18:23:68 | I | Matching ok | SEQ : 20174743700, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
18:18:25:69 | I | Matching ok | SEQ : 20174743690, PART : N/A, SCAN N/A, CELL [2,3]
18:18:27:70 | I | Matching ok | SEQ : 20174743680, PART : N/A, SCAN N/A, CELL [2,4]
18:18:31:83 | W | Mismatching | SEQ : 20174743670, PART : 52124713AD, SCAN P04578885AC, CELL [2,5]
18:18:44:00 | I | Matching ok | SEQ : 20174743670, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
18:18:47:85 | I | Matching ok | SEQ : 20174743660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:23:22:91 | I | Matching ok | SEQ : 20174743770, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
18:23:25:31 | I | Matching ok | SEQ : 20174743760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
18:23:29:99 | I | Matching ok | SEQ : 20174743750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
18:23:32:01 | I | Matching ok | SEQ : 20174743740, PART : N/A, SCAN N/A, CELL [1,4]
18:23:35:91 | I | Matching ok | SEQ : 20174743730, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
18:23:37:94 | I | Matching ok | SEQ : 20174743720, PART : N/A, SCAN N/A, CELL [1,6]
18:23:39:97 | I | Matching ok | SEQ : 20174743830, PART : N/A, SCAN N/A, CELL [2,1]
18:23:42:00 | I | Matching ok | SEQ : 20174743820, PART : N/A, SCAN N/A, CELL [2,2]
18:23:58:18 | I | Matching ok | SEQ : 20174743810, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
18:24:00:20 | I | Matching ok | SEQ : 20174743800, PART : N/A, SCAN N/A, CELL [2,4]
18:24:04:09 | I | Matching ok | SEQ : 20174743790, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
18:24:10:93 | I | Matching ok | SEQ : 20174743780, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:24:13:06 | I | Matching ok | SEQ : 20174743890, PART : N/A, SCAN N/A, CELL [1,1]
18:24:15:07 | I | Matching ok | SEQ : 20174743880, PART : N/A, SCAN N/A, CELL [1,2]
18:31:09:29 | I | Matching ok | SEQ : 20174743870, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
18:31:11:31 | I | Matching ok | SEQ : 20174743860, PART : N/A, SCAN N/A, CELL [1,4]
18:31:18:07 | W | Mismatching | SEQ : 20174743850, PART : 68193661AB, SCAN P04578885AC, CELL [1,5]
18:31:32:49 | I | Matching ok | SEQ : 20174743850, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
18:31:37:24 | I | Matching ok | SEQ : 20174743840, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
18:31:46:05 | I | Matching ok | SEQ : 20174743950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
18:31:55:72 | I | Matching ok | SEQ : 20174743940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
18:32:00:05 | I | Matching ok | SEQ : 20174743930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
18:32:02:06 | I | Matching ok | SEQ : 20174743920, PART : N/A, SCAN N/A, CELL [2,4]
18:32:04:07 | I | Matching ok | SEQ : 20174743910, PART : N/A, SCAN N/A, CELL [2,5]
18:32:08:07 | I | Matching ok | SEQ : 20174743900, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:32:10:17 | I | Matching ok | SEQ : 20174744010, PART : N/A, SCAN N/A, CELL [1,1]
18:40:07:01 | I | Matching ok | SEQ : 20174744000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
18:40:09:03 | I | Matching ok | SEQ : 20174743990, PART : N/A, SCAN N/A, CELL [1,3]
18:40:11:08 | I | Matching ok | SEQ : 20174743980, PART : N/A, SCAN N/A, CELL [1,4]
18:40:24:66 | I | Matching ok | SEQ : 20174743970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
18:40:33:93 | I | Matching ok | SEQ : 20174743960, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
18:40:55:33 | I | Matching ok | SEQ : 20174744070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
18:41:03:56 | I | Matching ok | SEQ : 20174744060, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
18:41:05:57 | I | Matching ok | SEQ : 20174744050, PART : N/A, SCAN N/A, CELL [2,3]
18:41:16:21 | I | Matching ok | SEQ : 20174744040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
18:41:25:26 | I | Matching ok | SEQ : 20174744030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
18:41:52:41 | I | Matching ok | SEQ : 20174744020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
18:53:43:43 | I | Matching ok | SEQ : 20174744130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
18:53:55:26 | I | Matching ok | SEQ : 20174744120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
18:54:12:43 | I | Matching ok | SEQ : 20174744110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
18:54:23:88 | I | Matching ok | SEQ : 20174744100, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
18:54:35:75 | I | Matching ok | SEQ : 20174744090, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
18:54:44:63 | I | Matching ok | SEQ : 20174744080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
18:54:55:83 | I | Matching ok | SEQ : 20174744190, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
18:55:07:65 | I | Matching ok | SEQ : 20174744180, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
18:55:09:66 | I | Matching ok | SEQ : 20174744170, PART : N/A, SCAN N/A, CELL [2,3]
18:55:11:67 | I | Matching ok | SEQ : 20174744160, PART : N/A, SCAN N/A, CELL [2,4]
18:55:28:45 | I | Matching ok | SEQ : 20174744150, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
18:55:32:66 | I | Matching ok | SEQ : 20174744140, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
19:02:47:46 | I | Matching ok | SEQ : 20174744250, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
19:02:49:49 | I | Matching ok | SEQ : 20174744240, PART : N/A, SCAN N/A, CELL [1,2]
19:02:57:09 | I | Matching ok | SEQ : 20174744230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
19:03:10:86 | I | Matching ok | SEQ : 20174744220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
19:03:12:89 | I | Matching ok | SEQ : 20174744210, PART : N/A, SCAN N/A, CELL [1,5]
19:03:14:90 | I | Matching ok | SEQ : 20174744200, PART : N/A, SCAN N/A, CELL [1,6]
19:03:22:82 | I | Matching ok | SEQ : 20174744310, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
19:03:34:32 | I | Matching ok | SEQ : 20174744300, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
19:03:36:33 | I | Matching ok | SEQ : 20174744290, PART : N/A, SCAN N/A, CELL [2,3]
19:03:54:20 | I | Matching ok | SEQ : 20174744280, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
19:03:56:54 | I | Matching ok | SEQ : 20174744270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
19:03:58:56 | I | Matching ok | SEQ : 20174744260, PART : N/A, SCAN N/A, CELL [2,6]
